,song_and_artist,ranking
50,"



	
	
		
					Evergreen		
	


	
	Omar Apollo











	
	53




	
	51




	
	3













	
	53




	
	51




	
	3




","

	
	51



"
51,"



	
	
		
					F.N.F. (Let's Go)		
	


	
	Hitkidd & GloRilla









	
	44




	
	42




	
	19











	
	44




	
	42




	
	19




","

	
	52



"
52,"



	
	
		
					Whiskey On You		
	


	
	Nate Smith









	
	45




	
	45




	
	16











	
	45




	
	45




	
	16




","

	
	53



"
53,"



	
	
		
					Wishful Drinking		
	


	
	Ingrid Andress With Sam Hunt











	
	55




	
	51




	
	14













	
	55




	
	51




	
	14




","

	
	54



"
54,"



	
	
		
					2 Be Loved (Am I Ready)		
	


	
	Lizzo











	
	58




	
	55




	
	8













	
	58




	
	55




	
	8




","

	
	55



"
55,"



	
	
		
					Don't Come Lookin'		
	


	
	Jackson Dean











	
	59




	
	56




	
	6













	
	59




	
	56




	
	6




","

	
	56



"
56,"



	
	
		
					Bones		
	


	
	Imagine Dragons









	
	51




	
	47




	
	20











	
	51




	
	47




	
	20




","

	
	57



"
57,"



	
	
		
					Golden Hour		
	


	
	JVKE











	
	60




	
	56




	
	6













	
	60




	
	56




	
	6




","

	
	58



"
58,"



	
	
		
					Numb		
	


	
	Marshmello & Khalid









	
	47




	
	40




	
	14











	
	47




	
	40




	
	14




","

	
	59



"
59,"



	
	
		
					Wait In The Truck		
	


	
	HARDY Featuring Lainey Wilson











	
	82




	
	60




	
	5













	
	82




	
	60




	
	5




","

	
	60



"
60,"



	
	
		
					Half Of Me		
	


	
	Thomas Rhett Featuring Riley Green











	
	66




	
	61




	
	7













	
	66




	
	61




	
	7




","

	
	61



"
61,"



	
	
		
					Billie Eilish.		
	


	
	Armani White











	
	63




	
	62




	
	4













	
	63




	
	62




	
	4




","

	
	62



"
62,"



	
	
		
					Gatubela		
	


	
	Karol G x Maldy









	
	62




	
	37




	
	6











	
	62




	
	37




	
	6




","

	
	63



"
63,"



	
	
		
					Sleazy Flow		
	


	
	SleazyWorld Go Featuring Lil Baby









	
	61




	
	47




	
	19











	
	61




	
	47




	
	19




","

	
	64



"
64,"



	
	
		
					All Mine		
	


	
	Brent Faiyaz











	
	69




	
	42




	
	9













	
	69




	
	42




	
	9




","

	
	65



"
65,"



	
	
		
					Music For A Sushi Restaurant		
	


	
	Harry Styles











	
	72




	
	8




	
	12













	
	72




	
	8




	
	12




","

	
	66



"
66,"



	
	
		
					Freestyle		
	


	
	Lil Baby











	
	65




	
	65




	
	4













	
	65




	
	65




	
	4




","

	
	67



"
67,"



	
	
		
					Despecha		
	


	
	Rosalia









	
	64




	
	63




	
	9











	
	64




	
	63




	
	9




","

	
	68



"
68,"



	
	
		
					Last Night Lonely		
	


	
	Jon Pardi









	
	56




	
	27




	
	19











	
	56




	
	27




	
	19




","

	
	69



"
69,"



	
	
		
					La Bachata		
	


	
	Manuel Turizo











	
	77




	
	70




	
	7













	
	77




	
	70




	
	7




","

	
	70



"
70,"



	
	
		
					Pick Me Up		
	


	
	Gabby Barrett











	
	81




	
	69




	
	10













	
	81




	
	69




	
	10




","

	
	71



"
71,"



	
	
		
					Neverita		
	


	
	Bad Bunny









	
	75




	
	31




	
	13











	
	75




	
	31




	
	13




","

	
	72



"
72,"



	
	
		
					She Likes It		
	


	
	Russell Dickerson & Jake Scott









	
	74




	
	63




	
	27











	
	74




	
	63




	
	27




","

	
	73



"
73,"



	
	
		
					Dah Dah DahDah		
	


	
	Nardo Wick









	
	73




	
	48




	
	10











	
	73




	
	48




	
	10




","

	
	74



"
74,"



	
	
		
					Calm Down		
	


	
	Rema & Selena Gomez











	
	80




	
	75




	
	5













	
	80




	
	75




	
	5




","

	
	75



"
75,"



	
	
		
					Country On		
	


	
	Luke Bryan











	
	83




	
	76




	
	7













	
	83




	
	76




	
	7




","

	
	76



"
76,"



	
	
		
					No Se Va		
	


	
	Grupo Frontera











	
	99




	
	77




	
	2













	
	99




	
	77




	
	2




","

	
	77



"
77,"



	
	
		
					Truth About You		
	


	
	Mitchell Tenpenny









	
	71




	
	54




	
	12











	
	71




	
	54




	
	12




","

	
	78



"
78,"



	
	
		
					Dark Red		
	


	
	Steve Lacy











	
	79




	
	79




	
	3













	
	79




	
	79




	
	3




","

	
	79



"
79,"



	
	
		
					Put It On Me		
	


	
	YoungBoy Never Broke Again









	
	70




	
	63




	
	4











	
	70




	
	63




	
	4




","

	
	80



"
80,"



	
	
		
					Toxic		
	


	
	YG











	
	-




	
	81




	
	1













	
	-




	
	81




	
	1




","

	
	81


	
	NEW

"
81,"



	
	
		
					Static		
	


	
	Steve Lacy









	
	78




	
	78




	
	5











	
	78




	
	78




	
	5




","

	
	82



"
82,"



	
	
		
					Soul		
	


	
	Lee Brice











	
	85




	
	83




	
	4













	
	85




	
	83




	
	4




","

	
	83



"
83,"



	
	
		
					Wild As Her		
	


	
	Corey Kent











	
	84




	
	75




	
	11













	
	84




	
	75




	
	11




","

	
	84



"
84,"



	
	
		
					Bzrp Music Sessions, Vol. 52		
	


	
	Bizarrap & Quevedo











	
	86




	
	82




	
	7













	
	86




	
	82




	
	7




","

	
	85



"
85,"



	
	
		
					Out In The Middle		
	


	
	Zac Brown Band











	
	95




	
	86




	
	2













	
	95




	
	86




	
	2




","

	
	86



"
86,"



	
	
		
					Ghost Story		
	


	
	Carrie Underwood









	
	68




	
	61




	
	20











	
	68




	
	61




	
	20




","

	
	87



"
87,"



	
	
		
					Shut Down		
	


	
	BLACKPINK









	
	67




	
	25




	
	3











	
	67




	
	25




	
	3




","

	
	88



"
88,"



	
	
		
					Good Love		
	


	
	City Girls & Usher









	
	88




	
	70




	
	3











	
	88




	
	70




	
	3




","

	
	89



"
89,"



	
	
		
					Snap		
	


	
	Rosa Linn











	
	90




	
	90




	
	6













	
	90




	
	90




	
	6




","

	
	90



"
90,"



	
	
		
					Like I Love Country Music		
	


	
	Kane Brown









	
	91




	
	26




	
	20











	
	91




	
	26




	
	20




","

	
	91



"
91,"



	
	
		
					World's Smallest Violin		
	


	
	AJR











	
	97




	
	92




	
	2













	
	97




	
	92




	
	2




","

	
	92



"
92,"



	
	
		
					Love You Better		
	


	
	Future











	
	-




	
	12




	
	6













	
	-




	
	12




	
	6




","

	
	93


	
	RE-
ENTRY

"
93,"



	
	
		
					Tennessee Orange		
	


	
	Megan Moroney











	
	-




	
	94




	
	1













	
	-




	
	94




	
	1




","

	
	94


	
	NEW

"
94,"



	
	
		
					With A Woman You Love		
	


	
	Justin Moore









	
	89




	
	59




	
	11











	
	89




	
	59




	
	11




","

	
	95



"
95,"



	
	
		
					Gotta Move On		
	


	
	Diddy & Bryson Tiller











	
	-




	
	96




	
	1













	
	-




	
	96




	
	1




","

	
	96


	
	NEW

"
96,"



	
	
		
					Forget Me		
	


	
	Lewis Capaldi











	
	-




	
	97




	
	1













	
	-




	
	97




	
	1




","

	
	97


	
	NEW

"
97,"



	
	
		
					Down Home		
	


	
	Jimmie Allen











	
	100




	
	98




	
	2













	
	100




	
	98




	
	2




","

	
	98



"
98,"



	
	
		
					What He Didn't Do		
	


	
	Carly Pearce











	
	-




	
	99




	
	1













	
	-




	
	99




	
	1




","

	
	99


	
	NEW

"
99,"



	
	
		
					Talk		
	


	
	Yeat









	
	93




	
	42




	
	5











	
	93




	
	42




	
	5




","

	
	100



"
